Gene	ModuleAssignment	ModuleColor	Blocks	kWithin-weighted	kWithin-unweighted	HubGenes
ENSG00000258787	3	brown	1	468.605081982751	1904.83946704116	 
ENSG00000258788	1	turquoise	3	1089.80810302841	3653.86570495947	 
ENSG00000258789	3	brown	1	118.762773997947	1102.27011178851	 
ENSG00000258790	4	yellow	2	833.618718483613	2071.20717952512	 
ENSG00000258791	1	turquoise	3	980.896731211388	3540.33939052167	 
ENSG00000258792	6	red	1	56.9622396558744	502.948276179531	 
ENSG00000258793	1	turquoise	3	3472.95277838351	5414.58113037246	 
ENSG00000258794	3	brown	1	186.85168253727	1358.44825146975	 
ENSG00000258795	1	turquoise	3	4566.8544979685	5939.30208009477	hub10;hub5
ENSG00000258796	18	lightgreen	1	7.97159316091115	89.6562625642084	 
ENSG00000258798	13	salmon	2	122.019788313953	258.899519698281	 
ENSG00000258800	4	yellow	2	423.603374056405	1630.50530347254	 
ENSG00000258801	0	grey	3	6.8070011652542	272.65922656997	 
ENSG00000258802	2	blue	1	403.973334320195	2024.38983403066	 
ENSG00000258803	1	turquoise	3	4234.59272878196	5802.02796486046	 
ENSG00000258804	1	turquoise	3	4566.8544979685	5939.30208009477	hub10;hub5
ENSG00000258805	9	magenta	2	46.5443139737007	318.061465086754	 
ENSG00000258806	4	yellow	2	157.993797471671	1162.90547891229	 
ENSG00000258807	1	turquoise	3	2223.02441926479	4665.05003467859	 
ENSG00000258808	1	turquoise	3	217.479744774234	2078.23277598494	 
ENSG00000258809	5	green	2	115.30816113273	753.139387733415	 
ENSG00000258810	12	tan	1	14.249259358752	128.081897306203	 
ENSG00000258811	5	green	2	223.405914651067	949.538365848212	 
ENSG00000258812	40	mediumpurple3	2	52.5578056325729	88.8405077334462	 
ENSG00000258813	5	green	2	478.451882762966	1251.01803272955	 
ENSG00000258814	18	lightgreen	1	174.956666731094	259.924965369719	hub10;hub5
ENSG00000258815	6	red	1	317.9764992995	916.081457073769	 
ENSG00000258816	1	turquoise	3	4566.8544979685	5939.30208009477	hub10;hub5
ENSG00000258817	1	turquoise	3	4566.8544979685	5939.30208009477	hub10;hub5
ENSG00000258818	2	blue	1	1696.37260119341	3441.78352422228	 
ENSG00000258819	6	red	1	514.740841876086	1081.93720715593	 
ENSG00000258820	1	turquoise	3	1400.59072707366	3996.95369680397	 
ENSG00000258821	17	grey60	1	22.107688328324	131.097439855699	 
ENSG00000258822	1	turquoise	3	3423.93116386733	5400.91933371867	 
ENSG00000258823	0	grey	1	12.6775474038778	328.228242338677	 
ENSG00000258824	3	brown	1	737.673393766114	2250.63462738842	 
ENSG00000258825	5	green	2	202.209354945622	924.761939367075	 
ENSG00000258827	18	lightgreen	1	174.956666731094	259.924965369719	hub10;hub5
ENSG00000258828	6	red	1	621.551380603951	1134.39587738132	 
ENSG00000258829	1	turquoise	3	1325.56635428059	3916.87178301231	 
ENSG00000258830	4	yellow	2	854.997894317768	2102.6669056303	hub10
ENSG00000258831	1	turquoise	3	663.476163415643	3077.19609036064	 
ENSG00000258832	0	grey	1	22.6818202312198	397.11211858966	 
ENSG00000258836	9	magenta	2	28.1019819099674	263.744029539354	 
ENSG00000258837	1	turquoise	3	4566.8544979685	5939.30208009477	hub10;hub5
ENSG00000258838	2	blue	1	144.723926929782	1343.83144149182	 
ENSG00000258839	4	yellow	2	590.751430348713	1834.65010250403	 
ENSG00000258840	3	brown	1	127.863400542377	1113.10312631532	 
ENSG00000258841	4	yellow	2	152.651962060174	1083.37356863788	 
ENSG00000258842	2	blue	2	591.426983689873	2352.45362286659	 
ENSG00000258843	4	yellow	2	645.647185839821	1946.67374954423	 
ENSG00000258844	1	turquoise	3	273.825570433971	2293.97819563464	 
ENSG00000258845	32	violet	1	105.356632523953	135.350806604646	hub10;hub5
ENSG00000258846	2	blue	2	517.310523371378	2210.16050341804	 
ENSG00000258847	7	black	2	27.5031072406663	382.408133294429	 
ENSG00000258850	1	turquoise	3	1503.08563993756	4073.2832224779	 
ENSG00000258851	0	grey	1	7.13902364636296	281.503901243775	 
ENSG00000258852	0	grey	2	8.67550522194445	285.748066303914	 
ENSG00000258853	24	darkgrey	1	19.0705609641444	95.1981840903685	 
ENSG00000258854	17	grey60	1	74.1287461403466	199.55968845225	 
ENSG00000258855	1	turquoise	3	4534.30375715726	5923.76307186092	 
ENSG00000258856	2	blue	1	605.739650053882	2363.57529415143	 
ENSG00000258857	6	red	1	104.148798366101	625.283390988576	 
ENSG00000258858	73	firebrick4	3	16.7558801929387	38.569413969325	 
ENSG00000258859	1	turquoise	3	4566.8544979685	5939.30208009477	hub10;hub5
ENSG00000258860	8	pink	2	43.3832577559515	374.02423027187	 
ENSG00000258861	1	turquoise	3	4566.8544979685	5939.30208009477	hub10;hub5
ENSG00000258862	3	brown	1	278.790961693167	1627.36538766791	 
ENSG00000258863	3	brown	1	79.6375615824195	1039.38590172742	 
ENSG00000258864	3	brown	1	205.644153972502	1372.55439165029	 
ENSG00000258865	15	midnightblue	3	106.580810605298	232.040740409544	 
ENSG00000258867	1	turquoise	3	4035.87737591532	5695.7904063021	 
ENSG00000258868	77	darkviolet	2	6.40643506047116	26.6965642234765	 
ENSG00000258869	1	turquoise	3	4566.8544979685	5939.30208009477	hub10;hub5
ENSG00000258870	11	greenyellow	1	68.1439069359035	224.615982996645	 
ENSG00000258871	4	yellow	2	143.731202353079	1078.66440828799	 
ENSG00000258872	1	turquoise	3	4566.8544979685	5939.30208009477	hub10;hub5
ENSG00000258873	1	turquoise	3	2326.18650294047	4724.6819090005	 
ENSG00000258874	1	turquoise	3	1313.81708991456	3885.02423578945	 
ENSG00000258875	4	yellow	2	91.0970256041146	966.401872135013	 
ENSG00000258876	3	brown	1	404.021548375658	1799.39646023464	 
ENSG00000258877	1	turquoise	3	3866.40774303059	5639.43196828274	 
ENSG00000258878	1	turquoise	3	4566.8544979685	5939.30208009477	hub10;hub5
ENSG00000258879	1	turquoise	3	4566.8544979685	5939.30208009477	hub10;hub5
ENSG00000258881	3	brown	1	207.895108507066	1393.94286371641	 
ENSG00000258882	2	blue	1	262.8610275263	1683.88947722749	 
ENSG00000258883	75	brown2	2	42.070031295626	52.1109734630183	hub10;hub5
ENSG00000258884	3	brown	1	463.598635169723	1894.32037068368	 
ENSG00000258885	1	turquoise	3	2326.1691312053	4724.66989236605	 
ENSG00000258886	1	turquoise	3	325.968659936136	2391.28732343642	 
ENSG00000258887	1	turquoise	3	4566.8544979685	5939.30208009477	hub10;hub5
ENSG00000258888	0	grey	3	8.95884811012987	300.648647092052	 
ENSG00000258889	3	brown	1	272.04540795911	1513.36260170333	 
ENSG00000258890	5	green	2	553.974927820079	1318.1549302069	 
ENSG00000258891	7	black	2	116.21278648492	614.325212537737	 
ENSG00000258892	4	yellow	2	210.281463702799	1062.88335715267	 
ENSG00000258893	8	pink	2	15.6584675865608	223.576895766166	 
ENSG00000258894	91	coral3	1	26.0741739176882	32.6108957070864	hub10;hub5
ENSG00000258895	7	black	2	185.328259200338	763.727300014094	 
ENSG00000258896	52	salmon4	2	5.91071911208732	34.9428027952441	 
ENSG00000258897	39	orangered4	1	76.9721602566135	103.20174974004	hub10;hub5
ENSG00000258899	1	turquoise	3	4566.8544979685	5939.30208009477	hub10;hub5
ENSG00000258900	4	yellow	2	389.019215491738	1609.72696978086	 
ENSG00000258901	1	turquoise	3	4566.8544979685	5939.30208009477	hub10;hub5
ENSG00000258902	89	coral	2	28.2412610665931	36.7812279536323	 
ENSG00000258903	2	blue	1	565.776930139879	2305.77987992846	 
ENSG00000258904	3	brown	1	202.737237482546	1425.10584734782	 
ENSG00000258905	1	turquoise	3	4566.8544979685	5939.30208009477	hub10;hub5
ENSG00000258906	70	lightsteelblue	2	35.921229025339	53.1556409375002	 
ENSG00000258907	2	blue	1	343.60625755172	1898.16264995554	 
ENSG00000258908	2	blue	1	1730.73632063311	3404.154733181	 
ENSG00000258909	32	violet	1	19.3855415693216	76.6036001619326	 
ENSG00000258910	1	turquoise	3	4566.8544979685	5939.30208009477	hub10;hub5
ENSG00000258912	1	turquoise	3	3945.26623644517	5660.04587023862	 
ENSG00000258913	6	red	1	189.39073213776	772.773970614098	 
ENSG00000258914	0	grey	3	10.1664981443549	308.682746249869	 
ENSG00000258915	11	greenyellow	1	45.2413496147386	196.027214996251	 
ENSG00000258916	1	turquoise	3	4566.8544979685	5939.30208009477	hub10;hub5
ENSG00000258917	3	brown	1	110.504844044779	1147.13379463361	 
